iter	RMSE
0	2.559267536
1	2.442716556
2	2.342615984
3	2.256155253
4	2.182073365
5	2.114396916
6	2.05737104
7	2.004287579
8	1.956687255
9	1.915397438
10	1.87580017
11	1.839489955
12	1.806784624
13	1.778569755
14	1.750570069
15	1.726195591
16	1.702701338
17	1.681415591
18	1.662805063
19	1.643923695
20	1.626418576
21	1.607546223
22	1.591101663
23	1.573334519
24	1.559468026
25	1.543962228
26	1.52844945
27	1.511410389
28	1.498385693
29	1.486715982
30	1.473529817
31	1.462213328
32	1.451348319
33	1.441497823
34	1.430335184
35	1.420176802
36	1.412057337
37	1.403837583
38	1.392857802
39	1.384555211
40	1.37337199
41	1.36553099
42	1.35696685
43	1.348671854
44	1.342203521
45	1.333157028
46	1.326488306
47	1.318707603
48	1.311116654
49	1.304072125
50	1.296238546
51	1.290338103
52	1.281415251
53	1.275239811
54	1.270220963
55	1.262592137
56	1.254089332
57	1.24806715
58	1.242596942
59	1.236430614
60	1.230792965
61	1.226379884
62	1.220743157
63	1.21420648
64	1.209193014
65	1.204136251
66	1.199030275
67	1.194391802
68	1.190508464
69	1.186604436
70	1.182420044
71	1.175494442
72	1.170709014
73	1.163247989
74	1.159434441
75	1.155459874
76	1.152160842
77	1.147852012
78	1.144673198
79	1.138895977
80	1.135194549
81	1.131816035
82	1.12890364
83	1.126169783
84	1.122123122
85	1.119419546
86	1.114826169
87	1.112125188
88	1.107901794
89	1.10490886
90	1.101963294
91	1.099003813
92	1.096625484
93	1.094200599
94	1.089640055
95	1.085567392
96	1.083287425
97	1.081036718
98	1.078340193
99	1.075112544
100	1.072711076
101	1.070670746
102	1.068058235
103	1.065691634
104	1.061282013
105	1.058979891
106	1.057027063
107	1.053497013
108	1.051250322
109	1.049407343
110	1.046872304
111	1.044463865
112	1.04205039
113	1.039168214
114	1.03706534
115	1.033542727
116	1.0318269
117	1.029096047
118	1.027144128
119	1.025531761
120	1.023750831
121	1.02215102
122	1.018669388
123	1.016982478
124	1.014827525
125	1.013496728
126	1.011945822
127	1.010565222
128	1.008573653
129	1.005569467
130	1.004026116
131	1.001042588
132	0.9988406771
133	0.9974795408
134	0.9956985677
135	0.9937702045
136	0.9922965942
137	0.9898948119
138	0.9878377081
139	0.986613866
140	0.9854164477
141	0.9837153951
142	0.9809528003
143	0.9791694879
144	0.9765183536
145	0.9750790766
146	0.9730552506
147	0.9715509567
148	0.9701613828
149	0.96894551
150	0.9675239604
151	0.9664869395
152	0.9650957662
153	0.9636536904
154	0.9624957158
155	0.9599748649
156	0.957642072
157	0.9565412186
158	0.954790509
159	0.9536079961
160	0.9509234596
161	0.949520519
162	0.9467077947
163	0.9448743491
164	0.9435157429
165	0.9421366592
166	0.9411902869
167	0.9400574489
168	0.9389396425
169	0.9380028536
170	0.9364715983
171	0.9346639576
172	0.9336275691
173	0.9325094969
174	0.9313163715
175	0.9295202595
176	0.9286510372
177	0.9269051124
178	0.9238818587
179	0.9226342
180	0.9212630672
181	0.919991268
182	0.9184047367
183	0.9174926307
184	0.9164138708
185	0.9151724394
186	0.9134671559
187	0.9125744365
188	0.9115613421
189	0.9106480455
190	0.9095276075
191	0.9085030591
192	0.9069188256
193	0.9059698202
194	0.9050940789
195	0.9040952747
196	0.9032534301
197	0.9023640541
198	0.9016350685
199	0.9008996502
200	0.9001200052
201	0.8993063988
202	0.8982568457
203	0.8975315748
204	0.8963917972
205	0.8932366195
206	0.8920091157
207	0.8910237322
208	0.8902095522
209	0.8894366192
210	0.8887125891
211	0.887673741
212	0.8868026094
213	0.8855620247
214	0.8845474944
215	0.8833958981
216	0.88225622
217	0.8814705597
218	0.8802515033
219	0.8793160618
220	0.876271379
221	0.8742324281
222	0.87359493
223	0.8729481366
224	0.8720903336
225	0.8709174916
226	0.87021524
227	0.8691219498
228	0.8679307946
229	0.8672257125
230	0.866605884
231	0.8660298781
232	0.8649928197
233	0.8644008454
234	0.8633165878
235	0.8625191753
236	0.8615661174
237	0.8607629417
238	0.8601760992
239	0.859317491
240	0.8584347963
241	0.8570601462
242	0.8563846128
243	0.8534875227
244	0.8526318116
245	0.8518932572
246	0.8513251278
247	0.850466367
248	0.8498823637
249	0.848125571
250	0.8474015189
251	0.8464735795
252	0.8457894935
253	0.8442361591
254	0.8430535715
255	0.8424504787
256	0.8416686079
257	0.8410926628
258	0.8402971617
259	0.8397072304
260	0.83827477
261	0.8376773916
262	0.8371643501
263	0.8365866217
264	0.8360536926
265	0.8351222246
266	0.8346285205
267	0.8339927011
268	0.8334314353
269	0.8329568504
270	0.8322905293
271	0.8311988351
272	0.8306692269
273	0.8297283693
274	0.8287375755
275	0.8279567614
276	0.8271946867
277	0.8264883733
278	0.8253529094
279	0.8246904856
280	0.8242099137
281	0.8237384257
282	0.8232558314
283	0.8225334498
284	0.8214531379
285	0.8207981459
286	0.8200783311
287	0.819414578
288	0.8184002701
289	0.8178446499
290	0.817419971
291	0.8169538577
292	0.8164481379
293	0.8154987534
294	0.8149874615
295	0.8130692917
296	0.8124434723
297	0.8116485667
298	0.810901154
299	0.8104585746
300	0.8100425477
301	0.8095130159
302	0.8090895695
303	0.8082418756
304	0.8074817965
305	0.8069782732
306	0.8065049118
307	0.8059631983
308	0.8052487847
309	0.8033005637
310	0.8028679586
311	0.8021696918
312	0.8017451261
313	0.8007301339
314	0.8000659393
315	0.7988473653
316	0.7982560376
317	0.797864377
318	0.7971172321
319	0.7965495663
320	0.7959575534
321	0.7949106838
322	0.794187218
323	0.793722977
324	0.7928565806
325	0.7922699444
326	0.7918596088
327	0.7905079998
328	0.7898944886
329	0.7891270686
330	0.7884221539
331	0.7879587377
332	0.787554066
333	0.7864281782
334	0.785393711
335	0.7848228193
336	0.7839432905
337	0.7832868961
338	0.7826213515
339	0.7822623574
340	0.7814933364
341	0.7810504422
342	0.7805807004
343	0.7798991002
344	0.7795083025
345	0.7791753172
346	0.7783056767
347	0.7779515845
348	0.7774058311
349	0.7764408715
350	0.7757096012
351	0.7751067031
352	0.774703864
353	0.7743233416
354	0.7736356078
355	0.7728795255
356	0.7721528135
357	0.7716763808
358	0.7712981327
359	0.7706090816
360	0.7702569373
361	0.7696926366
362	0.7693397162
363	0.768816231
364	0.7683198942
365	0.7680090624
366	0.7675917936
367	0.7670260694
368	0.7666301883
369	0.7661039788
370	0.7657581509
371	0.7654212303
372	0.7651096757
373	0.764528814
374	0.7639719165
375	0.7634489042
376	0.7630488556
377	0.7626972276
378	0.762228252
379	0.7616889378
380	0.7613845435
381	0.7610619839
382	0.7605530666
383	0.7600284681
384	0.7597134722
385	0.7591705843
386	0.758888096
387	0.7585599392
388	0.758071515
389	0.7577827864
390	0.7569420249
391	0.7566593125
392	0.7563621959
393	0.755868407
394	0.7553165949
395	0.754544134
396	0.7542243431
397	0.7536496937
398	0.7532443022
399	0.752194191
400	0.7515872476
401	0.7509948553
