iter	Passed	Remaining
0	249	2497612
1	466	2334515
2	697	2324498
3	921	2301885
4	1131	2261666
5	1351	2251447
6	1581	2257367
7	1786	2230906
8	1988	2207779
9	2197	2195538
10	2409	2187813
11	2616	2177712
12	2824	2169920
13	3035	2165194
14	3238	2155671
15	3441	2147528
16	3645	2140550
17	3847	2133534
18	4056	2131044
19	4250	2120853
20	4444	2112029
21	4624	2097554
22	4818	2090126
23	5003	2079700
24	5175	2064920
25	5335	2046708
26	5496	2030405
27	5665	2017614
28	5811	1998108
29	5954	1978824
30	6099	1961471
31	6237	1942974
32	6371	1924293
33	6512	1909034
34	6652	1894084
35	6801	1882450
36	6942	1869283
37	7074	1854657
38	7217	1843469
39	7365	1833907
40	7514	1825366
41	7663	1816975
42	7807	1807784
43	7955	1800224
44	8097	1791330
45	8244	1784034
46	8388	1776315
47	8535	1769663
48	8682	1763259
49	8831	1757376
50	8974	1750636
51	9112	1743225
52	9256	1737160
53	9398	1731118
54	9539	1724941
55	9687	1720268
56	9843	1717169
57	9988	1712228
58	10131	1707008
59	10278	1702775
60	10428	1699141
61	10568	1694018
62	10706	1688807
63	10858	1685711
64	11004	1681973
65	11143	1677244
66	11288	1673602
67	11428	1669201
68	11567	1664816
69	11704	1660319
70	11840	1655869
71	11983	1652378
72	12118	1648004
73	12274	1646464
74	12421	1643788
75	12559	1640043
76	12703	1637136
77	12860	1635895
78	12998	1632379
79	13139	1629321
80	13279	1626195
81	13420	1623207
82	13554	1619508
83	13691	1616220
84	13831	1613458
85	13972	1610683
86	14115	1608380
87	14253	1605510
88	14398	1603376
89	14543	1601417
90	14690	1599619
91	14832	1597413
92	14967	1594388
93	15108	1592192
94	15257	1590843
95	15393	1588057
96	15538	1586416
97	15677	1584024
98	15827	1582923
99	15973	1581371
100	16121	1580050
101	16260	1577874
102	16433	1579011
103	16572	1576920
104	16721	1575811
105	16863	1574035
106	16997	1571590
107	17148	1570694
108	17288	1568828
109	17453	1569216
110	17596	1567642
111	17732	1565547
112	17870	1563552
113	18020	1562735
114	18193	1563839
115	18346	1563210
116	18495	1562295
117	18640	1561090
118	18783	1559644
119	18930	1558650
120	19083	1558086
121	19221	1556348
122	19414	1559011
123	19614	1562238
124	19808	1564878
125	19988	1566414
126	20144	1566006
127	20295	1565323
128	20449	1564750
129	20598	1563874
130	20753	1563516
131	20910	1563194
132	21058	1562299
133	21239	1563818
134	21389	1563039
135	21539	1562238
136	21682	1561000
137	21837	1560622
138	21988	1559923
139	22139	1559266
140	22294	1558871
141	22452	1558726
